id,vehicle_id,customer_id,sale_date,final_price,payment_method,status
1,6,1,2026-09-07,97900.00,pix,confirmed
2,7,2,2026-09-05,89400.00,financing,confirmed
3,8,3,2026-09-03,111900.00,cash,confirmed
4,9,4,2026-09-01,78400.00,card,confirmed
5,10,5,2026-08-30,82900.00,pix,confirmed
6,11,6,2026-08-28,109400.00,financing,confirmed
7,12,7,2026-07-27,74900.00,cash,confirmed
8,13,8,2026-07-25,103400.00,card,confirmed
9,14,9,2026-07-23,69900.00,pix,confirmed
10,15,10,2026-07-21,95400.00,financing,confirmed
11,16,11,2026-07-19,16900.00,cash,confirmed
12,17,12,2026-07-17,37400.00,card,confirmed
13,18,13,2026-06-15,23900.00,pix,confirmed
14,19,14,2026-06-13,31400.00,financing,confirmed
15,20,15,2026-06-11,25900.00,cash,confirmed
16,21,1,2026-06-09,97900.00,card,confirmed
17,22,2,2026-06-07,91400.00,pix,confirmed
18,23,3,2026-06-05,113900.00,financing,confirmed
19,26,15,2026-04-15,111400.00,financing,canceled
