id,vehicle_type,brand,model,model_year,factory_year,color,license_plate,purchase_price,asking_price,mileage,status,entry_date
35,Moto,Honda,XRE 300 Plus,2021,2021,Branco,DEM0029,23200.00,28400.00,58750,available,2026-02-01
34,Moto,Yamaha,MT-03 Plus,2022,2021,Preto,DEM0028,28200.00,33400.00,57000,available,2026-02-08
33,Moto,Yamaha,Fazer 250 Plus,2023,2023,Azul,DEM0027,20700.00,25400.00,55250,available,2026-02-15
32,Moto,Honda,CB 500F Plus,2022,2022,Prata,DEM0026,34200.00,40400.00,53500,available,2026-02-22
31,Moto,Honda,CG 160 Plus,2023,2023,Branco,DEM0025,15700.00,19400.00,51750,available,2026-03-01
30,Carro,Fiat,Pulse Plus,2023,2022,Preto,DEM0024,84200.00,97400.00,50000,available,2026-03-08
29,Carro,Fiat,Argo Plus,2022,2022,Azul,DEM0023,60200.00,71400.00,48250,available,2026-03-15
28,Carro,Chevrolet,Tracker Plus,2022,2022,Prata,DEM0022,92200.00,106400.00,46500,available,2026-03-22
27,Carro,Chevrolet,Onix Plus,2023,2023,Branco,DEM0021,66200.00,77400.00,44750,available,2026-03-29
26,Carro,Volkswagen,T-Cross Plus,2022,2021,Preto,DEM0020,97200.00,111400.00,43000,available,2026-04-05
25,Carro,Volkswagen,Polo Plus,2023,2023,Azul,DEM0019,73200.00,84400.00,41250,available,2026-04-12
24,Carro,Toyota,Yaris Plus,2021,2021,Prata,DEM0018,70200.00,81400.00,39500,available,2026-04-19
23,Carro,Toyota,Corolla Plus,2022,2022,Branco,DEM0017,99200.00,114400.00,37750,sold,2026-04-26
22,Carro,Honda,City Plus,2023,2022,Preto,DEM0016,79200.00,91400.00,36000,sold,2026-05-03
21,Carro,Honda,Civic Plus,2022,2022,Azul,DEM0015,86200.00,99400.00,34250,sold,2026-05-10
20,Moto,Honda,XRE 300,2021,2021,Prata,DEM0014,22000.00,26900.00,32500,sold,2026-05-17
19,Moto,Yamaha,MT-03,2022,2022,Branco,DEM0013,27000.00,31900.00,30750,sold,2026-05-24
18,Moto,Yamaha,Fazer 250,2023,2022,Preto,DEM0012,19500.00,23900.00,29000,sold,2026-05-31
17,Moto,Honda,CB 500F,2022,2022,Azul,DEM0011,33000.00,38900.00,27250,sold,2026-06-07
16,Moto,Honda,CG 160,2023,2023,Prata,DEM0010,14500.00,17900.00,25500,sold,2026-06-14
15,Carro,Fiat,Pulse,2023,2023,Branco,DEM0009,83000.00,95900.00,23750,sold,2026-06-21
14,Carro,Fiat,Argo,2022,2021,Preto,DEM0008,59000.00,69900.00,22000,sold,2026-06-28
13,Carro,Chevrolet,Tracker,2022,2022,Azul,DEM0007,91000.00,104900.00,20250,sold,2026-07-05
12,Carro,Chevrolet,Onix,2023,2023,Prata,DEM0006,65000.00,75900.00,18500,sold,2026-07-12
11,Carro,Volkswagen,T-Cross,2022,2022,Branco,DEM0005,96000.00,109900.00,16750,sold,2026-07-19
10,Carro,Volkswagen,Polo,2023,2022,Preto,DEM0004,72000.00,82900.00,15000,sold,2026-07-26
9,Carro,Toyota,Yaris,2021,2021,Azul,DEM0003,69000.00,79900.00,13250,sold,2026-08-02
8,Carro,Toyota,Corolla,2022,2022,Prata,DEM0002,98000.00,112900.00,11500,sold,2026-08-09
7,Carro,Honda,City,2023,2023,Branco,DEM0001,78000.00,89900.00,9750,sold,2026-08-16
6,Carro,Honda,Civic,2022,2021,Preto,DEM0000,85000.00,97900.00,8000,sold,2026-08-23
5,Moto,Honda,africa twin,2024,2024,,,95000.00,95000.00,0,available,2026-09-22
4,Carro,Honda,civic type R,2024,2024,,,373000.00,373000.00,0,available,2026-09-22
3,Carro,Honda,civic type R,2024,2024,,,373000.00,373000.00,0,available,2026-09-22
2,Carro,Honda,civic type R,2024,2024,,,373000.00,373000.00,0,available,2026-09-22
1,Carro,Honda,civic type R,2024,2024,,,373000.00,373000.00,0,available,2026-09-22
